h,id,label,fuel_class,OutputPower
2016-11-30T05:00:00Z,2000,2000-Low Demand,Hydro,797.628692844609
2016-11-30T05:00:00Z,2001,2001-Low Demand,Hydro,493.64127431041084
2016-11-30T05:00:00Z,2008,2008-High Demand,Hydro,357.2085577285427
2016-11-30T05:00:00Z,2010,2010-High Demand,Hydro,232.76690692379998
2016-11-30T05:00:00Z,2012,2012-Lost Load,Hydro,660.4053796763172
2016-11-30T06:00:00Z,1996,1996-Median Demand,Hydro,525.5177025812764
2016-11-30T06:00:00Z,2000,2000-Low Demand,Hydro,797.628692844609
2016-11-30T06:00:00Z,2001,2001-Low Demand,Hydro,493.64127431041084
2016-11-30T06:00:00Z,2008,2008-High Demand,Hydro,357.2085577285427
2016-11-30T06:00:00Z,2010,2010-High Demand,Hydro,232.76690692379998
2016-11-30T06:00:00Z,2012,2012-Lost Load,Hydro,660.4053796763172
2016-11-30T07:00:00Z,1996,1996-Median Demand,Hydro,525.5177025812764
2016-11-30T07:00:00Z,2000,2000-Low Demand,Hydro,797.628692844609
2016-11-30T07:00:00Z,2001,2001-Low Demand,Hydro,493.64127431041084
2016-11-30T07:00:00Z,2008,2008-High Demand,Hydro,357.2085577285427
2016-11-30T07:00:00Z,2010,2010-High Demand,Hydro,232.76690692379998
2016-11-30T07:00:00Z,2012,2012-Lost Load,Hydro,660.4053796763172
2016-11-30T08:00:00Z,1996,1996-Median Demand,Hydro,525.5177025812764
2016-11-30T08:00:00Z,2000,2000-Low Demand,Hydro,797.628692844609
2016-11-30T08:00:00Z,2001,2001-Low Demand,Hydro,493.64127431041084
2016-11-30T08:00:00Z,2008,2008-High Demand,Hydro,357.2085577285427
2016-11-30T08:00:00Z,2010,2010-High Demand,Hydro,232.76690692379998
2016-11-30T08:00:00Z,2012,2012-Lost Load,Hydro,1030.5349009564034
2016-11-30T09:00:00Z,1996,1996-Median Demand,Hydro,525.5177025812764
2016-11-30T09:00:00Z,2000,2000-Low Demand,Hydro,1948.5413319577365
2016-11-30T09:00:00Z,2001,2001-Low Demand,Hydro,493.64127431041084
2016-11-30T09:00:00Z,2008,2008-High Demand,Hydro,1588.8233200757227
2016-11-30T09:00:00Z,2010,2010-High Demand,Hydro,232.76690692379998
2016-11-30T09:00:00Z,2012,2012-Lost Load,Hydro,3036.674289842067
2016-11-30T10:00:00Z,1996,1996-Median Demand,Hydro,525.5177025812764
2016-11-30T10:00:00Z,2000,2000-Low Demand,Hydro,2437.851038969573
2016-11-30T10:00:00Z,2001,2001-Low Demand,Hydro,493.64127431041084
2016-11-30T10:00:00Z,2008,2008-High Demand,Hydro,2598.9025884329367
2016-11-30T10:00:00Z,2010,2010-High Demand,Hydro,232.76690692379998
2016-11-30T10:00:00Z,2012,2012-Lost Load,Hydro,3404.4053796763174
2016-11-30T11:00:00Z,1996,1996-Median Demand,Hydro,525.5177025812764
2016-11-30T11:00:00Z,2000,2000-Low Demand,Hydro,2157.238531379222
2016-11-30T11:00:00Z,2001,2001-Low Demand,Hydro,493.64127431041084
2016-11-30T11:00:00Z,2008,2008-High Demand,Hydro,2405.3363493686848
2016-11-30T11:00:00Z,2010,2010-High Demand,Hydro,232.76690692379998
2016-11-30T11:00:00Z,2012,2012-Lost Load,Hydro,2531.5403222889654
2016-11-30T12:00:00Z,1996,1996-Median Demand,Hydro,647.2977950176992
