week,Location,id,level
32,CEE,1991,0.5664227836463854
32,CEE,1997,0.5608444318125174
32,CEE,2000,0.6927717113943669
32,CEE,2002,0.40085257246279415
32,CEE,2006,0.5837999208719123
32,CEE,2008,0.593339398966819
32,CWE,1991,5.879298014627457
32,CWE,1997,5.736452921785438
32,CWE,2000,5.768341935823725
32,CWE,2002,5.483207996469156
32,CWE,2006,5.689806293392304
32,CWE,2008,5.435671375177026
32,Iberia,1991,10.549572626204043
32,Iberia,1997,7.9008515349988375
32,Iberia,2000,7.356409157237532
32,Iberia,2002,6.551921517127355
32,Iberia,2006,6.3239086699618685
32,Iberia,2008,9.448531807443437
32,Italy,1991,3.203394930301857
32,Italy,1997,3.198130678242087
32,Italy,2000,3.202875492689604
32,Italy,2002,3.201555394020082
32,Italy,2006,2.8753910011052812
32,Italy,2008,3.20019219362137
32,Northern,1991,48.55515084809763
32,Northern,1997,70.0443187443256
32,Northern,2000,91.66945929599981
32,Northern,2002,77.03780453201786
32,Northern,2006,40.750653687579955
32,Northern,2008,63.06001684051842
32,SEE,1991,3.6139091079336914
32,SEE,1997,3.6653366563728835
32,SEE,2000,3.6103490089912116
32,SEE,2002,3.227057469052831
32,SEE,2006,3.8323401715079175
32,SEE,2008,3.725697485478312
33,UK & Ireland,1991,0.013665792558696559
33,UK & Ireland,1997,0.012992718426059346
33,UK & Ireland,2000,0.014373309097481924
33,UK & Ireland,2002,0.014460117907722362
33,UK & Ireland,2006,0.011995891727620282
33,UK & Ireland,2008,0.016523997372780097
33,CEE,1991,0.5690210824730614
33,CEE,1997,0.5752267130635799
33,CEE,2000,0.6810858106181074
33,CEE,2002,0.4443853999813766
33,CEE,2006,0.6079864572803274
33,CEE,2008,0.5933346656004173
33,CWE,1991,6.118596521865129
33,CWE,1997,5.907122679130837
33,CWE,2000,5.899299543805622
33,CWE,2002,5.588182955869971
33,CWE,2006,5.795895600656767
33,CWE,2008,5.6311513811192535
33,Iberia,1991,10.096368285284553
33,Iberia,1997,7.201464521367024
33,Iberia,2000,6.761535769991462
33,Iberia,2002,6.163703115269034
33,Iberia,2006,6.008048623187082
